name,value,lower_bound,upper_bound,use_logistic,use_log,step,fixed,nuisance,lower_seed,upper_seed,prior_func,prior_args,log_proposal,block
S,0.8,0,1,0,0,0.1,0,1,0,0.9,no_prior,0,0,0
EA,0.1,0,1,0,0,0.1,0,1,0,0.1,no_prior,0,0,0
lower_titre_bound,-1000,0,0,0,0,0.1,1,0,0,0,no_prior,0,0,1
infection (Panama),0,0,1,0,0,0.1,1,0,0,0,no_prior,0,0,2
mu1,8,0,15,0,0,0.1,0,0,3,15,mu_prior_norm,"8,10,1",0,2
dRF1,0.5,0,1,0,0,0.1,0,0,0.1,0.6,dRF_prior_norm,"0.5,5,1",0,2
tp1,12,0,50,0,0,0.1,1,0,5,20,tp_prior_norm,"7, 1000, 1",0,2
ts1,5,0,50,0,0,0.1,0,0,5,20,ts_prior_norm,"7, 1000, 1",0,2
m1,0.03,0,1,0,0,0.1,0,0,0.005,0.1,m_prior_norm,"0.05,10,1",0,2
Immunisation 1,28,0,1,0,0,0.1,1,0,0,0,no_prior,0,0,2
mu2,8,0,15,0,0,0.1,0,0,3,15,mu_prior_norm,"8,10,1",0,2
dRF2,0.5,0,1,0,0,0.1,0,0,0.1,0.6,dRF_prior_norm,"0.5,5,1",0,2
tp2,12,0,50,0,0,0.1,1,0,5,20,tp_prior_norm,"7, 1000, 1",0,2
ts2,5,0,50,0,0,0.1,0,0,5,20,ts_prior_norm,"7, 1000, 1",0,2
m2,0.03,0,1,0,0,0.1,0,0,0.005,0.1,m_prior_norm,"0.05,10,1",0,2
Immunisation 2,42,0,1,0,0,0.1,1,0,0,0,no_prior,0,0,2
mu3,8,0,15,0,0,0.1,0,0,3,15,mu_prior_norm,"8,10,1",0,2
dRF3,0.5,0,1,0,0,0.1,0,0,0.1,0.6,dRF_prior_norm,"0.5,5,1",0,2
tp3,12,0,50,0,0,0.1,1,0,5,20,tp_prior_norm,"7, 1000, 1",0,2
ts3,5,0,50,0,0,0.1,0,0,5,20,ts_prior_norm,"7, 1000, 1",0,2
m3,0.03,0,1,0,0,0.1,0,0,0.005,0.1,m_prior_norm,"0.05,10,1",0,2
infection (Fukushima),56,0,1,0,0,0.1,1,0,0,0,no_prior,0,0,3
mu4,8,0,15,0,0,0.1,0,0,3,15,mu_prior_norm,"8,10,1",0,3
dRF4,0.5,0,1,0,0,0.1,0,0,0.1,0.6,dRF_prior_norm,"0.5,5,1",0,3
tp4,12,0,50,0,0,0.1,1,0,5,20,tp_prior_norm,"7, 1000, 1",0,3
ts4,5,0,50,0,0,0.1,0,0,5,20,ts_prior_norm,"7, 1000, 1",0,3
m4,0.03,0,1,0,0,0.1,0,0,0.005,0.1,m_prior_norm,"0.05,10,1",0,3
