group,strain,indiv,0,21,36,49,70
Grp 1 (H3N2),A/Panama/2007/1999 (H3N2),F1304,0,8,3,5,4
Grp 1 (H3N2),A/Panama/2007/1999 (H3N2),F1305,0,8,6,5,4
Grp 1 (H3N2),A/Panama/2007/1999 (H3N2),F1306,0,8,4,4,2
Grp 2 (H3N2),A/Panama/2007/1999 (H3N2),F1307,0,8,8,8,6
Grp 2 (H3N2),A/Panama/2007/1999 (H3N2),F1308,0,8,8,7,5
Grp 2 (H3N2),A/Panama/2007/1999 (H3N2),F1309,0,8,8,7,5
Grp 3 (H3N2),A/Panama/2007/1999 (H3N2),F1313,0,0,0,0,0
Grp 3 (H3N2),A/Panama/2007/1999 (H3N2),F1314,0,0,0,0,0
Grp 3 (H3N2),A/Panama/2007/1999 (H3N2),F1315,0,0,0,0,0
Grp 4 (H3N2),A/Panama/2007/1999 (H3N2),F1310,0,8,8,11,7
Grp 4 (H3N2),A/Panama/2007/1999 (H3N2),F1311,0,8,8,11,8
Grp 4 (H3N2),A/Panama/2007/1999 (H3N2),F1312,0,6,7,6,7
Grp 5 (H3N2),A/Panama/2007/1999 (H3N2),F1316,0,0,0,0,0
Grp 5 (H3N2),A/Panama/2007/1999 (H3N2),F1317,0,0,0,0,0
Grp 5 (H3N2),A/Panama/2007/1999 (H3N2),F1318,0,0,0,0,0
Grp 1 (H3N2),A/Brisbane/10/2007 (H3N2),F1304,0,0,0,0,0
Grp 1 (H3N2),A/Brisbane/10/2007 (H3N2),F1305,0,0,0,0,0
Grp 1 (H3N2),A/Brisbane/10/2007 (H3N2),F1306,0,0,0,0,0
Grp 2 (H3N2),A/Brisbane/10/2007 (H3N2),F1307,0,0,8,9,7
Grp 2 (H3N2),A/Brisbane/10/2007 (H3N2),F1308,0,3,9,9,7
Grp 2 (H3N2),A/Brisbane/10/2007 (H3N2),F1309,0,0,11,9,6
Grp 3 (H3N2),A/Brisbane/10/2007 (H3N2),F1313,0,0,5,0,2
Grp 3 (H3N2),A/Brisbane/10/2007 (H3N2),F1314,0,0,0,0,2
Grp 3 (H3N2),A/Brisbane/10/2007 (H3N2),F1315,0,0,5,4,4
Grp 4 (H3N2),A/Brisbane/10/2007 (H3N2),F1310,0,0,8,11,9
Grp 4 (H3N2),A/Brisbane/10/2007 (H3N2),F1311,0,0,8,11,10
Grp 4 (H3N2),A/Brisbane/10/2007 (H3N2),F1312,0,0,8,12,9
Grp 5 (H3N2),A/Brisbane/10/2007 (H3N2),F1316,0,0,0,5,6
Grp 5 (H3N2),A/Brisbane/10/2007 (H3N2),F1317,0,0,4,7,5
Grp 5 (H3N2),A/Brisbane/10/2007 (H3N2),F1318,0,0,0,9,9
Grp 1 (H3N2),A/Wisconsin/67/2005 (H3N2),F1304,0,3,0,0,0
Grp 1 (H3N2),A/Wisconsin/67/2005 (H3N2),F1305,0,0,0,0,0
Grp 1 (H3N2),A/Wisconsin/67/2005 (H3N2),F1306,0,0,0,2,0
Grp 2 (H3N2),A/Wisconsin/67/2005 (H3N2),F1307,0,0,7,11,8
Grp 2 (H3N2),A/Wisconsin/67/2005 (H3N2),F1308,0,3,8,11,6
Grp 2 (H3N2),A/Wisconsin/67/2005 (H3N2),F1309,0,0,12,10,5
Grp 3 (H3N2),A/Wisconsin/67/2005 (H3N2),F1313,0,0,4,0,0
Grp 3 (H3N2),A/Wisconsin/67/2005 (H3N2),F1314,0,0,0,0,0
Grp 3 (H3N2),A/Wisconsin/67/2005 (H3N2),F1315,0,0,4,4,0
Grp 4 (H3N2),A/Wisconsin/67/2005 (H3N2),F1310,0,0,7,13,9
Grp 4 (H3N2),A/Wisconsin/67/2005 (H3N2),F1311,0,0,9,13,9
Grp 4 (H3N2),A/Wisconsin/67/2005 (H3N2),F1312,0,0,8,11,9
Grp 5 (H3N2),A/Wisconsin/67/2005 (H3N2),F1316,0,0,0,4,5
Grp 5 (H3N2),A/Wisconsin/67/2005 (H3N2),F1317,0,0,0,5,4
