group,strain,indiv,0,21,36,49,70
Grp 1 (B),B/Brisbane/3/2007,F1304,0.15,0.15,0.15,0.15,0.15
Grp 1 (B),B/Brisbane/3/2007,F1305,0.15,0.15,0.15,0.15,0.15
Grp 1 (B),B/Brisbane/3/2007,F1306,0.15,0.15,0.15,0.15,0.15
Grp 2 (B),B/Brisbane/3/2007,F1307,0.15,0.15,0.15,0.15,0.15
Grp 2 (B),B/Brisbane/3/2007,F1308,0.15,0.15,0.15,0.15,0.15
Grp 2 (B),B/Brisbane/3/2007,F1309,0.15,0.15,0.15,0.15,0.15
Grp 3 (B),B/Brisbane/3/2007,F1313,0.15,0.15,0.15,40,20
Grp 3 (B),B/Brisbane/3/2007,F1314,0.15,0.15,0.15,0.15,0.15
Grp 3 (B),B/Brisbane/3/2007,F1315,0.15,0.15,80,0.15,0.15
Grp 4 (B),B/Brisbane/3/2007,F1310,0.15,0.15,80,1280,1280
Grp 4 (B),B/Brisbane/3/2007,F1311,0.15,0.15,40,2560,2560
Grp 4 (B),B/Brisbane/3/2007,F1312,0.15,0.15,40,2560,160
Grp 5 (B),B/Brisbane/3/2007,F1316,0.15,0.15,20,160,320
Grp 5 (B),B/Brisbane/3/2007,F1317,0.15,0.15,20,320,320
Grp 5 (B),B/Brisbane/3/2007,F1318,0.15,0.15,80,1280,1280
Grp 1 (B),B/Malaysia/2506/2004,F1304,0.15,0.15,0.15,0.15,0.15
Grp 1 (B),B/Malaysia/2506/2004,F1305,0.15,0.15,0.15,0.15,0.15
Grp 1 (B),B/Malaysia/2506/2004,F1306,0.15,0.15,0.15,0.15,0.15
Grp 2 (B),B/Malaysia/2506/2004,F1307,0.15,0.15,0.15,0.15,20
Grp 2 (B),B/Malaysia/2506/2004,F1308,0.15,0.15,0.15,0.15,20
Grp 2 (B),B/Malaysia/2506/2004,F1309,0.15,0.15,0.15,0.15,0.15
Grp 3 (B),B/Malaysia/2506/2004,F1313,0.15,0.15,0.15,0.15,0.15
Grp 3 (B),B/Malaysia/2506/2004,F1314,0.15,0.15,0.15,0.15,0.15
Grp 3 (B),B/Malaysia/2506/2004,F1315,0.15,0.15,0.15,0.15,0.15
Grp 4 (B),B/Malaysia/2506/2004,F1310,0.15,0.15,0.15,320,1280
Grp 4 (B),B/Malaysia/2506/2004,F1311,0.15,0.15,0.15,80,5120
Grp 4 (B),B/Malaysia/2506/2004,F1312,0.15,0.15,0.15,2560,2560
Grp 5 (B),B/Malaysia/2506/2004,F1316,0.15,0.15,0.15,80,320
Grp 5 (B),B/Malaysia/2506/2004,F1317,0.15,0.15,0.15,20,160
Grp 5 (B),B/Malaysia/2506/2004,F1318,0.15,0.15,0.15,320,2560
